Date,Product Name,Product Category,Price (USD),Quantity Sold,Total Sales (USD),Daily Total Sales (USD)
2019-01-12,Permethrin,Pesticides,9.59,85,815.15,5810.61
2019-01-12,Pea seeds,Seeds,19.3,51,984.3,5810.61
2019-01-12,Machete,Farming Tools,46.84,19,889.96,5810.61
2019-01-13,Ammonium sulfate,Fertilizers,13.54,54,731.16,8743.119999999999
2019-01-13,Glyphosate (Roundup),Pesticides,28.19,97,2734.43,8743.119999999999
2019-01-13,Pea seeds,Seeds,42.52,52,2211.04,8743.119999999999
2019-01-13,Pruning shears,Farming Tools,43.19,71,3066.49,8743.119999999999
2019-01-14,Urea,Fertilizers,47.77,13,621.01,5975.43
2019-01-14,Glyphosate (Roundup),Pesticides,18.51,33,610.83,5975.43
2019-01-14,Bean seeds,Seeds,28.17,39,1098.63,5975.43
2019-01-14,Hoe,Farming Tools,47.96,76,3644.96,5975.43
2019-01-15,Ammonium nitrate,Fertilizers,31.75,43,1365.25,5820.33
2019-01-15,Glyphosate (Roundup),Pesticides,47.8,39,1864.2,5820.33
2019-01-15,Lettuce seeds,Seeds,41.24,25,1031.0,5820.33
2019-01-15,Rake,Farming Tools,43.33,36,1559.88,5820.33
2019-01-16,Potassium nitrate,Fertilizers,19.42,10,194.2,3959.1799999999994
2019-01-16,Glyphosate (Roundup),Pesticides,28.17,97,2732.49,3959.1799999999994
2019-01-16,Tomato seeds,Seeds,9.01,49,441.49,3959.1799999999994
2019-01-16,Trowel,Farming Tools,29.55,20,591.0,3959.1799999999994
2019-01-17,Superphosphate,Fertilizers,9.25,59,545.75,3513.7599999999993
2019-01-17,Glyphosate (Roundup),Pesticides,8.67,21,182.07,3513.7599999999993
2019-01-17,Lettuce seeds,Seeds,43.53,58,2524.74,3513.7599999999993
2019-01-17,Tractors,Farming Tools,6.53,40,261.2,3513.7599999999993
2019-01-18,Ammonium sulfate,Fertilizers,16.58,22,364.76,5299.43
2019-01-18,Neonicotinoids,Pesticides,7.18,77,552.86,5299.43
2019-01-18,Corn seeds,Seeds,11.57,86,995.02,5299.43
2019-01-18,Hand cultivator,Farming Tools,34.21,99,3386.79,5299.43
2019-01-19,Potassium chloride,Fertilizers,31.39,95,2982.05,6827.9800000000005
2019-01-19,Permethrin,Pesticides,16.85,64,1078.4,6827.9800000000005
2019-01-19,Lettuce seeds,Seeds,19.55,87,1700.85,6827.9800000000005
2019-01-19,Trowel,Farming Tools,29.63,36,1066.68,6827.9800000000005
2019-01-20,Triple superphosphate,Fertilizers,26.77,14,374.78,1949.27
2019-01-20,Pyrethroids,Pesticides,10.49,30,314.7,1949.27
2019-01-20,Pea seeds,Seeds,47.49,13,617.37,1949.27
2019-01-20,Hand weeder,Farming Tools,7.47,86,642.42,1949.27
2019-01-21,Potassium chloride,Fertilizers,20.3,26,527.8,2491.7
2019-01-21,Chlorpyrifos,Pesticides,18.52,69,1277.88,2491.7
2019-01-21,Lettuce seeds,Seeds,21.56,14,301.84,2491.7
2019-01-21,Scythe,Farming Tools,6.74,57,384.18,2491.7
2019-01-22,Urea,Fertilizers,49.19,11,541.09,3596.56
2019-01-22,Imidacloprid,Pesticides,6.77,44,297.88,3596.56
2019-01-22,Wheat seeds,Seeds,34.34,58,1991.72,3596.56
2019-01-22,Hand weeder,Farming Tools,15.63,49,765.87,3596.56
2019-01-23,Triple superphosphate,Fertilizers,14.02,33,462.66,2052.28
2019-01-23,Neonicotinoids,Pesticides,34.68,15,520.2,2052.28
2019-01-23,Bean seeds,Seeds,19.3,22,424.6,2052.28
2019-01-23,Hand cultivator,Farming Tools,19.54,33,644.82,2052.28
2019-01-24,Triple superphosphate,Fertilizers,45.94,85,3904.9,11135.14
2019-01-24,Neonicotinoids,Pesticides,34.5,82,2829.0,11135.14
2019-01-24,Sunflower seeds,Seeds,7.04,79,556.16,11135.14
2019-01-24,Sprayers,Farming Tools,39.64,97,3845.08,11135.14
2019-01-25,Ammonium sulfate,Fertilizers,42.05,73,3069.65,4521.46
2019-01-25,Malathion,Pesticides,5.52,19,104.88,4521.46
2019-01-25,Cucumber seeds,Seeds,29.28,29,849.12,4521.46
2019-01-25,Shovel,Farming Tools,7.43,67,497.81,4521.46
2019-01-26,Calcium ammonium nitrate,Fertilizers,42.36,15,635.4,6900.86
2019-01-26,Malathion,Pesticides,49.63,17,843.71,6900.86
2019-01-26,Tomato seeds,Seeds,45.33,90,4079.7,6900.86
2019-01-26,Wheelbarrow,Farming Tools,19.45,69,1342.05,6900.86
2019-01-27,Triple superphosphate,Fertilizers,39.01,74,2886.74,9750.449999999999
2019-01-27,Carbaryl (Sevin),Pesticides,42.08,95,3997.6,9750.449999999999
2019-01-27,Soybean seeds,Seeds,25.87,71,1836.77,9750.449999999999
2019-01-27,Rake,Farming Tools,13.91,74,1029.34,9750.449999999999
2019-01-28,Ammonium sulfate,Fertilizers,13.78,48,661.44,4285.389999999999
2019-01-28,Chlorpyrifos,Pesticides,13.8,56,772.8,4285.389999999999
2019-01-28,Soybean seeds,Seeds,16.47,10,164.7,4285.389999999999
2019-01-28,Shovel,Farming Tools,41.33,65,2686.45,4285.389999999999
2019-01-29,Ammonium nitrate,Fertilizers,46.18,22,1015.96,7966.96
2019-01-29,Pyrethroids,Pesticides,45.51,42,1911.42,7966.96
2019-01-29,Sunflower seeds,Seeds,15.54,57,885.78,7966.96
2019-01-29,Tractors,Farming Tools,49.45,84,4153.8,7966.96
2019-01-30,Potassium nitrate,Fertilizers,24.36,42,1023.12,5731.889999999999
2019-01-30,Carbaryl (Sevin),Pesticides,40.12,29,1163.48,5731.889999999999
2019-01-30,Rice seeds,Seeds,21.03,37,778.11,5731.889999999999
2019-01-30,Hand cultivator,Farming Tools,47.71,58,2767.18,5731.889999999999
2019-01-31,Diammonium phosphate,Fertilizers,20.5,43,881.5,6965.16
2019-01-31,Imidacloprid,Pesticides,41.98,63,2644.74,6965.16
2019-01-31,Cucumber seeds,Seeds,35.59,29,1032.11,6965.16
2019-01-31,Seed drills,Farming Tools,32.97,73,2406.81,6965.16
2019-02-01,Potassium chloride,Fertilizers,30.02,39,1170.78,2870.5
2019-02-01,Neonicotinoids,Pesticides,6.68,53,354.04,2870.5
2019-02-01,Bean seeds,Seeds,29.58,42,1242.36,2870.5
2019-02-01,Harrows,Farming Tools,8.61,12,103.32,2870.5
2019-02-02,Ammonium nitrate,Fertilizers,32.62,87,2837.94,4667.64
2019-02-02,Atrazine,Pesticides,48.5,18,873.0,4667.64
2019-02-02,Lettuce seeds,Seeds,23.65,24,567.6,4667.64
2019-02-02,Hoe,Farming Tools,38.91,10,389.1,4667.64
2019-02-03,Ammonium nitrate,Fertilizers,25.56,71,1814.76,6515.55
2019-02-03,Glyphosate (Roundup),Pesticides,47.95,65,3116.75,6515.55
2019-02-03,Wheat seeds,Seeds,38.17,13,496.21,6515.55
2019-02-03,Spade,Farming Tools,13.77,79,1087.83,6515.55
2019-02-04,Ammonium nitrate,Fertilizers,39.81,74,2945.94,8632.77
2019-02-04,Carbaryl (Sevin),Pesticides,23.16,68,1574.88,8632.77
2019-02-04,Sunflower seeds,Seeds,34.28,20,685.6,8632.77
2019-02-04,Sprayers,Farming Tools,40.31,85,3426.35,8632.77
2019-02-05,Urea,Fertilizers,38.82,94,3649.08,6869.49
2019-02-05,Chlorpyrifos,Pesticides,12.79,10,127.9,6869.49
2019-02-05,Soybean seeds,Seeds,14.67,97,1422.99,6869.49
2019-02-05,Seed drills,Farming Tools,40.72,41,1669.52,6869.49
2019-02-06,Calcium ammonium nitrate,Fertilizers,34.47,37,1275.39,9093.39
2019-02-06,Glyphosate (Roundup),Pesticides,43.78,100,4378.0,9093.39
2019-02-06,Tomato seeds,Seeds,18.17,73,1326.41,9093.39
2019-02-06,Hand cultivator,Farming Tools,44.97,47,2113.59,9093.39
2019-02-07,Calcium ammonium nitrate,Fertilizers,22.09,30,662.7,3547.73
2019-02-07,Imidacloprid,Pesticides,12.07,28,337.96,3547.73
2019-02-07,Soybean seeds,Seeds,33.25,67,2227.75,3547.73
2019-02-07,Plows,Farming Tools,26.61,12,319.32,3547.73
2019-02-08,Superphosphate,Fertilizers,14.17,100,1417.0,5096.51
2019-02-08,Malathion,Pesticides,15.4,81,1247.4,5096.51
2019-02-08,Tomato seeds,Seeds,44.17,43,1899.31,5096.51
2019-02-08,Garden fork,Farming Tools,11.1,48,532.8,5096.51
2019-02-09,Potassium chloride,Fertilizers,43.59,86,3748.74,9652.4
2019-02-09,Malathion,Pesticides,35.91,53,1903.23,9652.4
2019-02-09,Lettuce seeds,Seeds,7.4,25,185.0,9652.4
2019-02-09,Sprayers,Farming Tools,42.87,89,3815.43,9652.4
2019-02-10,Potassium sulfate,Fertilizers,10.12,83,839.96,6010.68
2019-02-10,Pyrethroids,Pesticides,36.5,72,2628.0,6010.68
2019-02-10,Rice seeds,Seeds,25.56,51,1303.56,6010.68
2019-02-10,Cultivators,Farming Tools,23.83,52,1239.16,6010.68
2019-02-11,Ammonium sulfate,Fertilizers,11.6,61,707.6,4297.46
2019-02-11,Imidacloprid,Pesticides,25.7,51,1310.7,4297.46
2019-02-11,Soybean seeds,Seeds,32.42,14,453.88,4297.46
2019-02-11,Pruning shears,Farming Tools,39.68,46,1825.28,4297.46
2019-02-12,Superphosphate,Fertilizers,45.01,52,2340.52,3922.29
2019-02-12,Chlorpyrifos,Pesticides,5.81,11,63.91,3922.29
2019-02-12,Wheat seeds,Seeds,6.22,58,360.76,3922.29
2019-02-12,Sprayers,Farming Tools,16.53,70,1157.1,3922.29
2019-02-13,Diammonium phosphate,Fertilizers,38.24,91,3479.84,8989.23
2019-02-13,Neonicotinoids,Pesticides,34.78,88,3060.64,8989.23
2019-02-13,Tomato seeds,Seeds,9.39,55,516.45,8989.23
2019-02-13,Cultivators,Farming Tools,21.47,90,1932.3,8989.23
2019-02-14,Potassium chloride,Fertilizers,31.33,65,2036.45,7896.6900000000005
2019-02-14,Imidacloprid,Pesticides,48.38,94,4547.72,7896.6900000000005
2019-02-14,Lettuce seeds,Seeds,6.47,24,155.28,7896.6900000000005
2019-02-14,Tractors,Farming Tools,41.33,28,1157.24,7896.6900000000005
2019-02-15,Triple superphosphate,Fertilizers,43.72,60,2623.2,4425.78
2019-02-15,Neonicotinoids,Pesticides,11.5,17,195.5,4425.78
2019-02-15,Sunflower seeds,Seeds,17.69,32,566.08,4425.78
2019-02-15,Cultivators,Farming Tools,20.82,50,1041.0,4425.78
2019-02-16,Triple superphosphate,Fertilizers,13.8,60,828.0,4597.76
2019-02-16,DDT,Pesticides,43.46,40,1738.4,4597.76
2019-02-16,Tomato seeds,Seeds,11.2,41,459.2,4597.76
2019-02-16,Machete,Farming Tools,23.12,68,1572.16,4597.76
2019-02-17,Triple superphosphate,Fertilizers,35.96,10,359.6,6612.49
2019-02-17,Imidacloprid,Pesticides,40.73,53,2158.69,6612.49
2019-02-17,Cucumber seeds,Seeds,39.31,94,3695.14,6612.49
2019-02-17,Tractors,Farming Tools,14.78,27,399.06,6612.49
2019-02-18,Superphosphate,Fertilizers,7.87,89,700.43,1589.57
2019-02-18,DDT,Pesticides,9.72,18,174.96,1589.57
2019-02-18,Lettuce seeds,Seeds,7.71,28,215.88,1589.57
2019-02-18,Garden fork,Farming Tools,45.3,11,498.3,1589.57
2019-02-19,Potassium nitrate,Fertilizers,14.97,87,1302.39,7203.610000000001
2019-02-19,Carbaryl (Sevin),Pesticides,44.35,72,3193.2,7203.610000000001
2019-02-19,Soybean seeds,Seeds,44.2,49,2165.8,7203.610000000001
2019-02-19,Trowel,Farming Tools,25.82,21,542.22,7203.610000000001
2019-02-20,Potassium nitrate,Fertilizers,29.88,78,2330.64,5697.959999999999
2019-02-20,DDT,Pesticides,12.93,88,1137.84,5697.959999999999
2019-02-20,Sunflower seeds,Seeds,6.44,21,135.24,5697.959999999999
2019-02-20,Cultivators,Farming Tools,43.63,48,2094.24,5697.959999999999
2019-02-21,Superphosphate,Fertilizers,25.27,91,2299.57,10813.119999999999
2019-02-21,Malathion,Pesticides,42.62,97,4134.14,10813.119999999999
2019-02-21,Pea seeds,Seeds,16.93,46,778.78,10813.119999999999
2019-02-21,Sickles,Farming Tools,36.37,99,3600.63,10813.119999999999
2019-02-22,Ammonium nitrate,Fertilizers,7.36,31,228.16,3530.4300000000003
2019-02-22,Permethrin,Pesticides,42.95,44,1889.8,3530.4300000000003
2019-02-22,Sunflower seeds,Seeds,14.64,48,702.72,3530.4300000000003
2019-02-22,Fork,Farming Tools,28.39,25,709.75,3530.4300000000003
2019-02-23,Potassium nitrate,Fertilizers,47.63,47,2238.61,4148.780000000001
2019-02-23,Carbaryl (Sevin),Pesticides,14.3,11,157.3,4148.780000000001
2019-02-23,Soybean seeds,Seeds,17.37,17,295.29,4148.780000000001
2019-02-23,Plows,Farming Tools,28.58,51,1457.58,4148.780000000001
2019-02-24,Ammonium sulfate,Fertilizers,31.44,37,1163.28,3270.4700000000003
2019-02-24,Neonicotinoids,Pesticides,10.2,53,540.6,3270.4700000000003
2019-02-24,Corn seeds,Seeds,23.41,23,538.43,3270.4700000000003
2019-02-24,Tractors,Farming Tools,10.71,96,1028.16,3270.4700000000003
2019-02-25,Urea,Fertilizers,30.05,73,2193.65,5371.31
2019-02-25,Atrazine,Pesticides,47.37,31,1468.47,5371.31
2019-02-25,Corn seeds,Seeds,21.48,35,751.8,5371.31
2019-02-25,Plows,Farming Tools,45.59,21,957.39,5371.31
2019-02-26,Urea,Fertilizers,42.25,12,507.0,7139.52
2019-02-26,Pyrethroids,Pesticides,14.27,86,1227.22,7139.52
2019-02-26,Wheat seeds,Seeds,40.1,97,3889.7,7139.52
2019-02-26,Fork,Farming Tools,16.84,90,1515.6,7139.52
2019-02-27,Potassium chloride,Fertilizers,14.8,84,1243.2,9389.55
2019-02-27,Pyrethroids,Pesticides,45.45,46,2090.7,9389.55
2019-02-27,Soybean seeds,Seeds,44.88,71,3186.48,9389.55
2019-02-27,Machete,Farming Tools,48.63,59,2869.17,9389.55
2019-02-28,Potassium chloride,Fertilizers,28.6,53,1515.8,8609.37
2019-02-28,Permethrin,Pesticides,49.37,69,3406.53,8609.37
2019-02-28,Tomato seeds,Seeds,34.17,70,2391.9,8609.37
2019-02-28,Spade,Farming Tools,22.33,58,1295.14,8609.37
2019-03-01,Ammonium sulfate,Fertilizers,22.77,79,1798.83,8420.43
2019-03-01,DDT,Pesticides,10.83,84,909.72,8420.43
2019-03-01,Sunflower seeds,Seeds,44.36,97,4302.92,8420.43
2019-03-01,Sickles,Farming Tools,19.04,74,1408.96,8420.43
2019-03-02,Calcium ammonium nitrate,Fertilizers,41.28,32,1320.96,8504.7
2019-03-02,Glyphosate (Roundup),Pesticides,42.32,89,3766.48,8504.7
2019-03-02,Sunflower seeds,Seeds,46.25,28,1295.0,8504.7
2019-03-02,Hoe,Farming Tools,22.82,93,2122.26,8504.7
2019-03-03,Calcium ammonium nitrate,Fertilizers,29.84,93,2775.12,5037.51
2019-03-03,DDT,Pesticides,13.87,10,138.7,5037.51
2019-03-03,Sunflower seeds,Seeds,15.33,39,597.87,5037.51
2019-03-03,Trowel,Farming Tools,24.61,62,1525.82,5037.51
2019-03-04,Diammonium phosphate,Fertilizers,46.81,17,795.77,3986.89
2019-03-04,Permethrin,Pesticides,46.88,14,656.32,3986.89
2019-03-04,Lettuce seeds,Seeds,49.06,30,1471.8,3986.89
2019-03-04,Hand weeder,Farming Tools,10.63,100,1063.0,3986.89
2019-03-05,Urea,Fertilizers,26.57,92,2444.44,3924.05
2019-03-05,Carbaryl (Sevin),Pesticides,36.98,18,665.64,3924.05
2019-03-05,Tomato seeds,Seeds,36.67,16,586.72,3924.05
2019-03-05,Pruning shears,Farming Tools,5.05,45,227.25,3924.05
2019-03-06,Calcium ammonium nitrate,Fertilizers,34.92,17,593.64,5466.6
2019-03-06,Imidacloprid,Pesticides,5.92,28,165.76,5466.6
2019-03-06,Lettuce seeds,Seeds,35.59,72,2562.48,5466.6
2019-03-06,Cultivators,Farming Tools,25.84,83,2144.72,5466.6
2019-03-07,Ammonium sulfate,Fertilizers,19.82,79,1565.78,8102.96
2019-03-07,Neonicotinoids,Pesticides,44.7,87,3888.9,8102.96
2019-03-07,Pea seeds,Seeds,35.5,56,1988.0,8102.96
2019-03-07,Hand cultivator,Farming Tools,38.84,17,660.28,8102.96
2019-03-08,Potassium nitrate,Fertilizers,7.48,63,471.24,3572.69
2019-03-08,Permethrin,Pesticides,41.46,31,1285.26,3572.69
2019-03-08,Wheat seeds,Seeds,6.63,69,457.47,3572.69
2019-03-08,Seed drills,Farming Tools,42.46,32,1358.72,3572.69
2019-03-09,Triple superphosphate,Fertilizers,44.99,99,4454.01,11141.31
2019-03-09,Neonicotinoids,Pesticides,19.34,82,1585.88,11141.31
2019-03-09,Tomato seeds,Seeds,49.34,83,4095.22,11141.31
2019-03-09,Garden fork,Farming Tools,19.35,52,1006.2,11141.31
2019-03-10,Ammonium sulfate,Fertilizers,9.89,76,751.64,2884.84
2019-03-10,Chlorpyrifos,Pesticides,21.9,20,438.0,2884.84
2019-03-10,Pea seeds,Seeds,5.65,26,146.9,2884.84
2019-03-10,Fork,Farming Tools,19.85,78,1548.3,2884.84
2019-03-11,Potassium sulfate,Fertilizers,49.5,19,940.5,4798.9
2019-03-11,Glyphosate (Roundup),Pesticides,42.52,67,2848.84,4798.9
2019-03-11,Corn seeds,Seeds,34.22,19,650.18,4798.9
2019-03-11,Scythe,Farming Tools,25.67,14,359.38,4798.9
2019-03-12,Ammonium nitrate,Fertilizers,25.65,67,1718.55,9435.33
2019-03-12,Atrazine,Pesticides,33.8,81,2737.8,9435.33
2019-03-12,Lettuce seeds,Seeds,49.8,44,2191.2,9435.33
2019-03-12,Harrows,Farming Tools,28.74,97,2787.78,9435.33
2019-03-13,Triple superphosphate,Fertilizers,17.7,28,495.6,4704.18
2019-03-13,Atrazine,Pesticides,6.09,51,310.59,4704.18
2019-03-13,Sunflower seeds,Seeds,27.06,87,2354.22,4704.18
2019-03-13,Rake,Farming Tools,30.27,51,1543.77,4704.18
2019-03-14,Calcium ammonium nitrate,Fertilizers,12.2,41,500.2,4322.01
2019-03-14,Pyrethroids,Pesticides,8.66,66,571.56,4322.01
2019-03-14,Wheat seeds,Seeds,25.04,31,776.24,4322.01
2019-03-14,Sprayers,Farming Tools,32.13,77,2474.01,4322.01
2019-03-15,Potassium nitrate,Fertilizers,12.75,58,739.5,2923.9
2019-03-15,Chlorpyrifos,Pesticides,14.57,48,699.36,2923.9
2019-03-15,Cucumber seeds,Seeds,22.38,14,313.32,2923.9
2019-03-15,Seed drills,Farming Tools,26.63,44,1171.72,2923.9
2019-03-16,Ammonium nitrate,Fertilizers,11.31,24,271.44,5195.3099999999995
2019-03-16,Malathion,Pesticides,23.03,61,1404.83,5195.3099999999995
2019-03-16,Pea seeds,Seeds,38.99,56,2183.44,5195.3099999999995
2019-03-16,Fork,Farming Tools,38.16,35,1335.6,5195.3099999999995
2019-03-17,Urea,Fertilizers,48.89,42,2053.38,9009.72
2019-03-17,Neonicotinoids,Pesticides,36.98,78,2884.44,9009.72
2019-03-17,Bean seeds,Seeds,38.17,86,3282.62,9009.72
2019-03-17,Wheelbarrow,Farming Tools,49.33,16,789.28,9009.72
2019-03-18,Calcium ammonium nitrate,Fertilizers,9.18,43,394.74,5218.17
2019-03-18,Neonicotinoids,Pesticides,6.45,42,270.9,5218.17
2019-03-18,Soybean seeds,Seeds,44.91,43,1931.13,5218.17
2019-03-18,Trowel,Farming Tools,43.69,60,2621.4,5218.17
2019-03-19,Calcium ammonium nitrate,Fertilizers,18.46,20,369.2,6063.83
2019-03-19,Atrazine,Pesticides,7.3,93,678.9,6063.83
2019-03-19,Cucumber seeds,Seeds,22.69,89,2019.41,6063.83
2019-03-19,Harrows,Farming Tools,49.12,61,2996.32,6063.83
2019-03-20,Calcium ammonium nitrate,Fertilizers,18.31,37,677.47,4114.43
2019-03-20,Pyrethroids,Pesticides,36.4,17,618.8,4114.43
2019-03-20,Tomato seeds,Seeds,19.74,44,868.56,4114.43
2019-03-20,Hoe,Farming Tools,48.74,40,1949.6,4114.43
2019-03-21,Urea,Fertilizers,32.13,36,1156.68,4502.26
2019-03-21,DDT,Pesticides,35.75,37,1322.75,4502.26
2019-03-21,Bean seeds,Seeds,47.45,31,1470.95,4502.26
2019-03-21,Cultivators,Farming Tools,30.66,18,551.88,4502.26
2019-03-22,Superphosphate,Fertilizers,16.02,39,624.78,5007.9400000000005
2019-03-22,Permethrin,Pesticides,32.08,38,1219.04,5007.9400000000005
2019-03-22,Bean seeds,Seeds,49.09,12,589.08,5007.9400000000005
2019-03-22,Tractors,Farming Tools,49.52,52,2575.04,5007.9400000000005
2019-03-23,Potassium nitrate,Fertilizers,39.5,90,3555.0,8353.58
2019-03-23,Permethrin,Pesticides,41.18,92,3788.56,8353.58
2019-03-23,Bean seeds,Seeds,7.2,40,288.0,8353.58
2019-03-23,Hoe,Farming Tools,27.77,26,722.02,8353.58
2019-03-24,Potassium nitrate,Fertilizers,45.84,49,2246.16,4479.98
2019-03-24,DDT,Pesticides,41.18,19,782.42,4479.98
2019-03-24,Lettuce seeds,Seeds,23.34,38,886.92,4479.98
2019-03-24,Sickles,Farming Tools,17.64,32,564.48,4479.98
2019-03-25,Urea,Fertilizers,45.8,63,2885.4,6371.39
2019-03-25,Chlorpyrifos,Pesticides,12.57,79,993.03,6371.39
2019-03-25,Sunflower seeds,Seeds,7.88,87,685.56,6371.39
2019-03-25,Shovel,Farming Tools,25.82,70,1807.4,6371.39
2019-03-26,Triple superphosphate,Fertilizers,37.84,40,1513.6,6951.96
2019-03-26,Imidacloprid,Pesticides,11.43,100,1143.0,6951.96
2019-03-26,Lettuce seeds,Seeds,9.18,72,660.96,6951.96
2019-03-26,Hand weeder,Farming Tools,45.43,80,3634.4,6951.96
2019-03-27,Ammonium nitrate,Fertilizers,24.88,29,721.52,7909.49
2019-03-27,Chlorpyrifos,Pesticides,23.88,46,1098.48,7909.49
2019-03-27,Wheat seeds,Seeds,16.89,86,1452.54,7909.49
2019-03-27,Hoe,Farming Tools,48.81,95,4636.95,7909.49
2019-03-28,Superphosphate,Fertilizers,28.3,87,2462.1,9881.4
2019-03-28,Permethrin,Pesticides,19.19,54,1036.26,9881.4
2019-03-28,Bean seeds,Seeds,42.44,77,3267.88,9881.4
2019-03-28,Hand cultivator,Farming Tools,33.14,94,3115.16,9881.4
2019-03-29,Potassium chloride,Fertilizers,49.21,81,3986.01,10316.33
2019-03-29,Imidacloprid,Pesticides,43.81,96,4205.76,10316.33
2019-03-29,Soybean seeds,Seeds,16.28,45,732.6,10316.33
2019-03-29,Hand weeder,Farming Tools,20.47,68,1391.96,10316.33
2019-03-30,Urea,Fertilizers,45.97,50,2298.5,7100.389999999999
2019-03-30,Imidacloprid,Pesticides,27.73,30,831.9,7100.389999999999
2019-03-30,Pea seeds,Seeds,14.67,98,1437.66,7100.389999999999
2019-03-30,Fork,Farming Tools,30.51,83,2532.33,7100.389999999999
2019-03-31,Potassium sulfate,Fertilizers,23.67,50,1183.5,8282.0
2019-03-31,Chlorpyrifos,Pesticides,12.0,78,936.0,8282.0
2019-03-31,Cucumber seeds,Seeds,47.65,86,4097.9,8282.0
2019-03-31,Spade,Farming Tools,33.3,62,2064.6,8282.0
2019-04-01,Calcium ammonium nitrate,Fertilizers,46.44,69,3204.36,5346.07
2019-04-01,Imidacloprid,Pesticides,21.9,14,306.6,5346.07
2019-04-01,Sunflower seeds,Seeds,10.1,89,898.9,5346.07
2019-04-01,Sickles,Farming Tools,28.37,33,936.21,5346.07
2019-04-02,Urea,Fertilizers,46.53,84,3908.52,9462.24
2019-04-02,Atrazine,Pesticides,20.88,69,1440.72,9462.24
2019-04-02,Wheat seeds,Seeds,34.4,10,344.0,9462.24
2019-04-02,Cultivators,Farming Tools,37.69,100,3769.0,9462.24
2019-04-03,Ammonium sulfate,Fertilizers,23.23,36,836.28,8219.52
2019-04-03,DDT,Pesticides,47.77,91,4347.07,8219.52
2019-04-03,Cucumber seeds,Seeds,36.31,71,2578.01,8219.52
2019-04-03,Trowel,Farming Tools,19.09,24,458.16,8219.52
2019-04-04,Diammonium phosphate,Fertilizers,45.55,70,3188.5,9593.41
2019-04-04,Malathion,Pesticides,31.22,91,2841.02,9593.41
